game,numPlayers,ai,run,move,player,choices,choice,time
Leduc Holdem,2,PR,31,3,1,3,2,14
Leduc Holdem,2,PR,31,4,2,2,2,0
Leduc Holdem,2,PR,32,1,1,3,1,14
Leduc Holdem,2,PR,32,2,2,3,3,0
Leduc Holdem,2,PR,33,1,1,3,1,14
Leduc Holdem,2,PR,33,2,2,3,1,0
Leduc Holdem,2,PR,33,3,1,3,2,11
Leduc Holdem,2,PR,33,4,2,3,3,0
Leduc Holdem,2,PR,34,1,1,3,1,15
Leduc Holdem,2,PR,34,2,2,3,2,0
Leduc Holdem,2,PR,34,3,1,3,2,13
Leduc Holdem,2,PR,34,4,2,2,1,0
Leduc Holdem,2,PR,34,5,1,3,1,12
Leduc Holdem,2,PR,34,6,2,3,3,0
Leduc Holdem,2,PR,35,1,1,3,1,14
Leduc Holdem,2,PR,35,2,2,3,3,0
Leduc Holdem,2,PR,36,1,1,3,1,15
Leduc Holdem,2,PR,36,2,2,3,2,0
Leduc Holdem,2,PR,36,3,1,3,2,14
Leduc Holdem,2,PR,36,4,2,2,1,0
Leduc Holdem,2,PR,36,5,1,3,1,12
Leduc Holdem,2,PR,36,6,2,3,2,0
Leduc Holdem,2,PR,36,7,1,3,2,10
Leduc Holdem,2,PR,36,8,2,2,1,0
Leduc Holdem,2,PR,37,1,1,3,1,14
Leduc Holdem,2,PR,37,2,2,3,3,0
Leduc Holdem,2,PR,38,1,1,3,1,14
Leduc Holdem,2,PR,38,2,2,3,3,0
Leduc Holdem,2,PR,39,1,1,3,1,14
Leduc Holdem,2,PR,39,2,2,3,2,0
Leduc Holdem,2,PR,39,3,1,3,2,13
Leduc Holdem,2,PR,39,4,2,2,2,0
Leduc Holdem,2,PR,40,1,1,3,1,15
Leduc Holdem,2,PR,40,2,2,3,1,0
Leduc Holdem,2,PR,40,3,1,3,1,12
Leduc Holdem,2,PR,40,4,2,3,2,0
Leduc Holdem,2,PR,40,5,1,3,3,9
Leduc Holdem,2,PR,41,1,1,3,1,15
Leduc Holdem,2,PR,41,2,2,3,1,0
Leduc Holdem,2,PR,41,3,1,3,1,12
Leduc Holdem,2,PR,41,4,2,3,3,0
