game,numPlayers,ai,run,player,score,rank,time
Cuckoo,6,PRRRRR,18,2,0,6,2052
Cuckoo,6,PRRRRR,18,3,1,1,2052
Cuckoo,6,PRRRRR,18,4,1,1,2052
Cuckoo,6,PRRRRR,18,5,1,1,2052
Cuckoo,6,PRRRRR,18,6,1,1,2052
Cuckoo,6,PRRRRR,19,1,1,1,2571
Cuckoo,6,PRRRRR,19,2,1,1,2571
Cuckoo,6,PRRRRR,19,3,1,1,2571
Cuckoo,6,PRRRRR,19,4,0,6,2571
Cuckoo,6,PRRRRR,19,5,1,1,2571
Cuckoo,6,PRRRRR,19,6,1,1,2571
Cuckoo,6,PRRRRR,20,1,1,1,1049
Cuckoo,6,PRRRRR,20,2,1,1,1049
Cuckoo,6,PRRRRR,20,3,1,1,1049
Cuckoo,6,PRRRRR,20,4,1,1,1049
Cuckoo,6,PRRRRR,20,5,1,1,1049
Cuckoo,6,PRRRRR,20,6,0,6,1049
Cuckoo,6,PRRRRR,21,1,1,1,1008
Cuckoo,6,PRRRRR,21,2,1,1,1008
Cuckoo,6,PRRRRR,21,3,1,1,1008
Cuckoo,6,PRRRRR,21,4,1,1,1008
Cuckoo,6,PRRRRR,21,5,1,1,1008
Cuckoo,6,PRRRRR,21,6,0,6,1008
Cuckoo,6,PRRRRR,22,1,1,1,1695
Cuckoo,6,PRRRRR,22,2,0,6,1695
Cuckoo,6,PRRRRR,22,3,1,1,1695
Cuckoo,6,PRRRRR,22,4,1,1,1695
Cuckoo,6,PRRRRR,22,5,1,1,1695
Cuckoo,6,PRRRRR,22,6,1,1,1695
Cuckoo,6,PRRRRR,23,1,1,1,1395
Cuckoo,6,PRRRRR,23,2,1,1,1395
Cuckoo,6,PRRRRR,23,3,0,6,1395
Cuckoo,6,PRRRRR,23,4,1,1,1395
Cuckoo,6,PRRRRR,23,5,1,1,1395
Cuckoo,6,PRRRRR,23,6,1,1,1395
Cuckoo,6,PRRRRR,24,1,1,1,1008
Cuckoo,6,PRRRRR,24,2,1,1,1008
Cuckoo,6,PRRRRR,24,3,1,1,1008
Cuckoo,6,PRRRRR,24,4,1,1,1008
Cuckoo,6,PRRRRR,24,5,0,6,1008
Cuckoo,6,PRRRRR,24,6,1,1,1008
Cuckoo,6,PRRRRR,25,1,1,1,2824
Cuckoo,6,PRRRRR,25,2,1,1,2824
Cuckoo,6,PRRRRR,25,3,1,1,2824
Cuckoo,6,PRRRRR,25,4,1,1,2824
Cuckoo,6,PRRRRR,25,5,1,1,2824
Cuckoo,6,PRRRRR,25,6,0,6,2824
Cuckoo,6,PRRRRR,26,1,1,1,1297
Cuckoo,6,PRRRRR,26,2,0,6,1297
Cuckoo,6,PRRRRR,26,3,1,1,1297
Cuckoo,6,PRRRRR,26,4,1,1,1297
Cuckoo,6,PRRRRR,26,5,1,1,1297
Cuckoo,6,PRRRRR,26,6,1,1,1297
Cuckoo,6,PRRRRR,27,1,1,1,2348
Cuckoo,6,PRRRRR,27,2,1,1,2348
Cuckoo,6,PRRRRR,27,3,0,6,2348
Cuckoo,6,PRRRRR,27,4,1,1,2348
Cuckoo,6,PRRRRR,27,5,1,1,2348
Cuckoo,6,PRRRRR,27,6,1,1,2348
Cuckoo,6,PRRRRR,28,1,1,1,959
Cuckoo,6,PRRRRR,28,2,1,1,959
Cuckoo,6,PRRRRR,28,3,0,6,959
Cuckoo,6,PRRRRR,28,4,1,1,959
Cuckoo,6,PRRRRR,28,5,1,1,959
Cuckoo,6,PRRRRR,28,6,1,1,959
Cuckoo,6,PRRRRR,29,1,1,1,974
Cuckoo,6,PRRRRR,29,2,1,1,974
Cuckoo,6,PRRRRR,29,3,1,1,974
