game,numPlayers,ai,run,player,score,rank,time
Goofspiel,2,RR,64,1,34,2,967
Goofspiel,2,RR,64,2,57,1,967
Goofspiel,2,RR,65,1,40,2,867
Goofspiel,2,RR,65,2,51,1,867
Goofspiel,2,RR,66,1,37,2,892
Goofspiel,2,RR,66,2,54,1,892
Goofspiel,2,RR,67,1,54,1,942
Goofspiel,2,RR,67,2,37,2,942
Goofspiel,2,RR,68,1,59,1,911
Goofspiel,2,RR,68,2,32,2,911
Goofspiel,2,RR,69,1,53,1,884
Goofspiel,2,RR,69,2,38,2,884
Goofspiel,2,RR,70,1,56,1,942
Goofspiel,2,RR,70,2,35,2,942
Goofspiel,2,RR,71,1,57,1,922
Goofspiel,2,RR,71,2,34,2,922
Goofspiel,2,RR,72,1,41,1,869
Goofspiel,2,RR,72,2,40,2,869
Goofspiel,2,RR,73,1,49,1,926
Goofspiel,2,RR,73,2,42,2,926
Goofspiel,2,RR,74,1,30,2,928
Goofspiel,2,RR,74,2,61,1,928
Goofspiel,2,RR,75,1,58,1,884
Goofspiel,2,RR,75,2,33,2,884
Goofspiel,2,RR,76,1,57,1,911
Goofspiel,2,RR,76,2,34,2,911
Goofspiel,2,RR,77,1,53,1,966
Goofspiel,2,RR,77,2,38,2,966
Goofspiel,2,RR,78,1,50,1,878
Goofspiel,2,RR,78,2,41,2,878
Goofspiel,2,RR,79,1,40,2,910
Goofspiel,2,RR,79,2,51,1,910
Goofspiel,2,RR,80,1,50,1,942
Goofspiel,2,RR,80,2,41,2,942
Goofspiel,2,RR,81,1,55,1,877
Goofspiel,2,RR,81,2,36,2,877
Goofspiel,2,RR,82,1,50,1,927
Goofspiel,2,RR,82,2,41,2,927
Goofspiel,2,RR,83,1,60,1,930
Goofspiel,2,RR,83,2,31,2,930
Goofspiel,2,RR,84,1,32,2,902
Goofspiel,2,RR,84,2,59,1,902
Goofspiel,2,RR,85,1,63,1,912
Goofspiel,2,RR,85,2,28,2,912
Goofspiel,2,RR,86,1,68,1,952
Goofspiel,2,RR,86,2,23,2,952
Goofspiel,2,RR,87,1,19,2,910
Goofspiel,2,RR,87,2,61,1,910
Goofspiel,2,RR,88,1,32,2,908
Goofspiel,2,RR,88,2,59,1,908
Goofspiel,2,RR,89,1,65,1,930
Goofspiel,2,RR,89,2,26,2,930
Goofspiel,2,RR,90,1,44,1,902
Goofspiel,2,RR,90,2,40,2,902
Goofspiel,2,RR,91,1,78,1,886
Goofspiel,2,RR,91,2,13,2,886
Goofspiel,2,RR,92,1,36,2,944
Goofspiel,2,RR,92,2,46,1,944
Goofspiel,2,RR,93,1,21,2,922
Goofspiel,2,RR,93,2,70,1,922
Goofspiel,2,RR,94,1,52,1,889
Goofspiel,2,RR,94,2,39,2,889
Goofspiel,2,RR,95,1,56,1,940
Goofspiel,2,RR,95,2,35,2,940
Goofspiel,2,RR,96,1,52,1,912
Goofspiel,2,RR,96,2,39,2,912
Goofspiel,2,RR,97,1,41,2,875
Goofspiel,2,RR,97,2,50,1,875
Goofspiel,2,RR,98,1,55,1,940
Goofspiel,2,RR,98,2,36,2,940
Goofspiel,2,RR,99,1,44,2,943
Goofspiel,2,RR,99,2,47,1,943
Goofspiel,2,RR,100,1,40,2,920
Goofspiel,2,RR,100,2,49,1,920
