game,numPlayers,ai,run,player,score,rank,time
Leduc Holdem,2,RR,57,2,3,1,3
Leduc Holdem,2,RR,58,1,1,1,1
Leduc Holdem,2,RR,58,2,-1,2,1
Leduc Holdem,2,RR,59,1,-5,2,2
Leduc Holdem,2,RR,59,2,5,1,2
Leduc Holdem,2,RR,60,1,3,1,3
Leduc Holdem,2,RR,60,2,-3,2,3
Leduc Holdem,2,RR,61,1,-1,2,2
Leduc Holdem,2,RR,61,2,1,1,2
Leduc Holdem,2,RR,62,1,-1,2,1
Leduc Holdem,2,RR,62,2,1,1,1
Leduc Holdem,2,RR,63,1,1,1,1
Leduc Holdem,2,RR,63,2,-1,2,1
Leduc Holdem,2,RR,64,1,1,1,1
Leduc Holdem,2,RR,64,2,-1,2,1
Leduc Holdem,2,RR,65,1,-1,2,1
Leduc Holdem,2,RR,65,2,1,1,1
Leduc Holdem,2,RR,66,1,-1,2,2
Leduc Holdem,2,RR,66,2,1,1,2
Leduc Holdem,2,RR,67,1,-1,2,2
Leduc Holdem,2,RR,67,2,1,1,2
Leduc Holdem,2,RR,68,1,-1,2,1
Leduc Holdem,2,RR,68,2,1,1,1
Leduc Holdem,2,RR,69,1,1,1,1
Leduc Holdem,2,RR,69,2,-1,2,1
Leduc Holdem,2,RR,70,1,-5,2,3
Leduc Holdem,2,RR,70,2,5,1,3
Leduc Holdem,2,RR,71,1,1,1,1
Leduc Holdem,2,RR,71,2,-1,2,1
Leduc Holdem,2,RR,72,1,1,1,1
Leduc Holdem,2,RR,72,2,-1,2,1
Leduc Holdem,2,RR,73,1,5,1,3
Leduc Holdem,2,RR,73,2,-5,2,3
Leduc Holdem,2,RR,74,1,-1,2,1
Leduc Holdem,2,RR,74,2,1,1,1
Leduc Holdem,2,RR,75,1,1,1,2
Leduc Holdem,2,RR,75,2,-1,2,2
Leduc Holdem,2,RR,76,1,1,1,1
Leduc Holdem,2,RR,76,2,-1,2,1
Leduc Holdem,2,RR,77,1,-1,2,1
Leduc Holdem,2,RR,77,2,1,1,1
Leduc Holdem,2,RR,78,1,-1,2,1
Leduc Holdem,2,RR,78,2,1,1,1
Leduc Holdem,2,RR,79,1,-1,2,1
Leduc Holdem,2,RR,79,2,1,1,1
Leduc Holdem,2,RR,80,1,-1,2,5
Leduc Holdem,2,RR,80,2,1,1,5
Leduc Holdem,2,RR,81,1,1,1,5
Leduc Holdem,2,RR,81,2,-1,2,5
Leduc Holdem,2,RR,82,1,3,1,6
Leduc Holdem,2,RR,82,2,-3,2,6
Leduc Holdem,2,RR,83,1,-3,2,3
Leduc Holdem,2,RR,83,2,3,1,3
Leduc Holdem,2,RR,84,1,1,1,1
Leduc Holdem,2,RR,84,2,-1,2,1
Leduc Holdem,2,RR,85,1,-1,2,1
Leduc Holdem,2,RR,85,2,1,1,1
Leduc Holdem,2,RR,86,1,-1,2,1
Leduc Holdem,2,RR,86,2,1,1,1
Leduc Holdem,2,RR,87,1,-1,2,1
Leduc Holdem,2,RR,87,2,1,1,1
Leduc Holdem,2,RR,88,1,1,1,8
Leduc Holdem,2,RR,88,2,-1,2,8
Leduc Holdem,2,RR,89,1,1,1,4
Leduc Holdem,2,RR,89,2,-1,2,4
Leduc Holdem,2,RR,90,1,-1,2,3
Leduc Holdem,2,RR,90,2,1,1,3
Leduc Holdem,2,RR,91,1,-1,2,3
Leduc Holdem,2,RR,91,2,1,1,3
Leduc Holdem,2,RR,92,1,-1,2,3
Leduc Holdem,2,RR,92,2,1,1,3
Leduc Holdem,2,RR,93,1,-11,2,13
Leduc Holdem,2,RR,93,2,11,1,13
Leduc Holdem,2,RR,94,1,-1,2,3
Leduc Holdem,2,RR,94,2,1,1,3
Leduc Holdem,2,RR,95,1,-1,2,1
Leduc Holdem,2,RR,95,2,1,1,1
Leduc Holdem,2,RR,96,1,1,1,3
Leduc Holdem,2,RR,96,2,-1,2,3
Leduc Holdem,2,RR,97,1,3,1,2
Leduc Holdem,2,RR,97,2,-3,2,2
Leduc Holdem,2,RR,98,1,5,1,3
Leduc Holdem,2,RR,98,2,-5,2,3
Leduc Holdem,2,RR,99,1,5,1,3
Leduc Holdem,2,RR,99,2,-5,2,3
Leduc Holdem,2,RR,100,1,-5,2,2
Leduc Holdem,2,RR,100,2,5,1,2
